session_id,user_id,session_date,page_type
1,1,2026-01-16,home
2,2,2026-01-30,home
3,2,2026-02-10,home
4,2,2026-01-21,home
5,2,2026-01-25,payment
6,3,2026-02-22,pricing
7,3,2026-01-30,payment
8,4,2026-02-10,home
9,4,2026-02-02,pricing
10,4,2026-01-21,payment
11,4,2026-02-09,home
12,5,2026-01-19,home
13,5,2026-02-07,pricing
14,5,2026-01-12,home
15,5,2026-02-09,home
16,5,2026-01-22,home
17,5,2026-01-30,pricing
18,6,2026-01-12,payment
19,6,2026-01-31,home
20,6,2026-01-15,home
21,7,2026-02-07,home
22,7,2026-02-03,pricing
23,7,2026-02-04,pricing
24,7,2026-02-10,payment
25,7,2026-02-15,home
26,7,2026-02-03,home
27,8,2026-01-25,pricing
28,9,2026-01-17,home
29,9,2026-01-22,payment
30,9,2026-01-19,payment
31,9,2026-01-27,pricing
32,9,2026-01-08,home
33,10,2026-02-19,home
34,10,2026-01-29,pricing
35,10,2026-01-27,home
36,11,2026-01-24,home
37,11,2026-02-06,pricing
38,11,2026-02-12,home
39,12,2026-02-17,home
40,12,2026-02-19,payment
41,12,2026-02-21,pricing
42,12,2026-01-25,home
43,12,2026-01-31,pricing
44,13,2026-01-27,payment
45,13,2026-01-21,payment
46,13,2026-02-06,pricing
47,14,2026-01-18,home
48,14,2026-01-25,home
49,15,2026-01-26,pricing
50,15,2026-02-17,home
51,15,2026-02-07,home
52,17,2026-01-04,payment
53,17,2026-01-30,home
54,17,2026-01-30,home
55,17,2026-01-17,home
56,17,2026-01-07,home
57,17,2026-02-02,home
58,17,2026-02-02,payment
59,18,2026-01-15,pricing
60,19,2026-02-01,payment
61,19,2026-02-05,payment
62,19,2026-02-01,home
63,19,2026-02-15,home
64,19,2026-02-11,payment
65,20,2026-01-10,home
66,20,2026-01-11,home
67,21,2026-02-17,pricing
68,21,2026-01-30,home
69,21,2026-01-25,payment
70,22,2026-02-19,pricing
71,22,2026-02-19,home
72,22,2026-01-31,payment
73,22,2026-02-07,home
74,22,2026-02-10,home
75,23,2026-01-30,home
76,23,2026-01-04,payment
77,23,2026-01-25,payment
78,25,2026-01-26,pricing
79,25,2026-02-06,home
80,25,2026-02-02,pricing
81,26,2026-02-26,home
